record_id,source_id,doi,polymer_SMILES,dynamic_bond_type,temperature_C,relaxation_time_s,normalized_stress,storage_modulus_Pa,catalyst_smiles,crosslinker,normalized_inverse_temperature,log_viscosity,time_s,tan_delta,normalized_fluorescence_intensity,domain_distance_nm
pdf_wang_2018_3e02de84,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,160.0,7.622120603444593,0.3681353904012987,,,,,,,,,
pdf_wang_2018_c9f56c5c,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,150.0,15.301935980170086,0.3629385871191073,,,,,,,,,
pdf_wang_2018_9191d5da,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,140.0,34.06555835719476,0.3686054959613654,,,,,,,,,
pdf_wang_2018_39d4bb72,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,130.0,132.62105218171718,0.3676909269626902,,,,,,,,,
pdf_wang_2018_9f01d25f,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,160.0,54.04064979787336,0.3650471627489144,,,,,,,,,
pdf_wang_2018_cc76fb2e,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,150.0,136.5099565803257,0.3625991914957328,,,,,,,,,
pdf_wang_2018_0a3150c9,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,140.0,475.68872585716326,0.3690522533313369,,,,,,,,,
pdf_wang_2018_788e33be,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,130.0,1527.5490342865692,0.3723012427010029,,,,,,,,,
pdf_wang_2018_1e2e389c,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,160.0,98.46153846153844,0.3673930453108536,,,,,,,,,
pdf_wang_2018_5b86d6f2,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,150.0,221.53846153846143,0.3622507903055848,,,,,,,,,
pdf_wang_2018_02575ed5,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,140.0,732.3076923076922,0.3609104320337196,,,,,,,,,
pdf_wang_2018_7f2cf634,wang_2018,10.1021/acs.macromol.8b01369,C1=CC=C(C(=C1)C(=O)CCC(=O)NS(=O)(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C(F)(F)F,imine_exchange,130.0,1526.1538461538455,0.3658250790305584,,,,,,,,,
pdf_leibler_2011_dfa817c3,leibler_2011,10.1126/science.1212648,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,160.0,338078.29181494657,0.3708307241152844,,CC(=O)O[Zn]OC(=O)C,,,,,,,
pdf_leibler_2011_f2bed901,leibler_2011,10.1126/science.1212648,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,150.0,574733.0960854092,0.3703328089441451,,CC(=O)O[Zn]OC(=O)C,,,,,,,
pdf_leibler_2011_d23fdb4c,leibler_2011,10.1126/science.1212648,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,140.0,695729.537366548,0.3709559665816445,,CC(=O)O[Zn]OC(=O)C,,,,,,,
pdf_leibler_2011_8bd1fa62,leibler_2011,10.1126/science.1212648,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,transesterification,130.0,905693.950177936,0.373754066561789,,CC(=O)O[Zn]OC(=O)C,,,,,,,
pdf_hayashi_2025_8a7f659d,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,transesterification,140.26911414338315,,,,,,,7.819509911381693,,,,
pdf_hayashi_2025_77d8f32b,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,transesterification,149.65995235001083,,,,,,,6.877541805735097,,,,
pdf_hayashi_2025_a2a576a2,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,transesterification,159.95993069092486,,,,,,,6.241857012683113,,,,
pdf_hayashi_2025_416ceb8c,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,transesterification,169.85867446393763,,,,,,,5.762716196014001,,,,
pdf_hayashi_2025_b0b2a12f,hayashi_2025,10.1016/j.progpolymsci.2025.102026,CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,transesterification,179.89549491011482,,,,,,,5.230073697290733,,,,
pdf_tretbar_2019_594bb058,tretbar_2019,10.1021/jacs.9b08876,CC(O[Si](C)(C)C)C,silyl_ether_metathesis,170.0,811.765217693751,0.3717171717171718,,,CO[Si](C)(C)CCCCCCCC[Si](C)(C)OC,,,,,,
pdf_tretbar_2019_296fc890,tretbar_2019,10.1021/jacs.9b08876,CC(O[Si](C)(C)C)C,silyl_ether_metathesis,160.0,1319.8389344726922,0.3636363636363636,,,CO[Si](C)(C)CCCCCCCC[Si](C)(C)OC,,,,,,
pdf_tretbar_2019_764bab8e,tretbar_2019,10.1021/jacs.9b08876,CC(O[Si](C)(C)C)C,silyl_ether_metathesis,150.0,2478.736828345732,0.3636363636363636,,,CO[Si](C)(C)CCCCCCCC[Si](C)(C)OC,,,,,,
pdf_tretbar_2019_80a0a74c,tretbar_2019,10.1021/jacs.9b08876,CC(O[Si](C)(C)C)C,silyl_ether_metathesis,140.0,3650.4478672802857,0.3656565656565657,,,CO[Si](C)(C)CCCCCCCC[Si](C)(C)OC,,,,,,
pdf_tretbar_2019_d4052142,tretbar_2019,10.1021/jacs.9b08876,CC(O[Si](C)(C)C)C,silyl_ether_metathesis,130.0,6632.822514630034,0.3676767676767678,,,CO[Si](C)(C)CCCCCCCC[Si](C)(C)OC,,,,,,
pdf_hayashi_2025_6536a58f,hayashi_2025,10.1016/j.progpolymsci.2025.102026,B1(OC(C)C(C)O1)C2=CC=CC=C2,boronic_ester_metathesis,,,0.3680589874556924,,,,,,61.44570264701472,,,
pdf_hayashi_2025_732f17f0,hayashi_2025,10.1016/j.progpolymsci.2025.102026,B1(OC(C)C(C)O1)C2=CC=CC=C2,boronic_ester_metathesis,,,0.3718735937981069,,,,,,55.04338325267821,,,
pdf_hayashi_2025_68641b19,hayashi_2025,10.1016/j.progpolymsci.2025.102026,B1(OC(C)C(C)O1)C2=CC=CC=C2,boronic_ester_metathesis,,,0.3695210427011708,,,,,,35.670807051337725,,,
pdf_hayashi_2025_3aeff908,hayashi_2025,10.1016/j.progpolymsci.2025.102026,B1(OC(C)C(C)O1)C2=CC=CC=C2,boronic_ester_metathesis,,,0.3749366469041849,,,,,,10.537878441000707,,,
pdf_hayashi_2025_03a4bab7,hayashi_2025,10.1016/j.progpolymsci.2025.102026,C1=CC=[N+](CC)C=C1,trans_N_alkylation,128.62318840579707,,,,,,,,,,,3.000896860986547
pdf_hayashi_2025_72fe8357,hayashi_2025,10.1016/j.progpolymsci.2025.102026,C(=C(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,transesterification,101.00613218260278,,,,,,,,,,0.0313725490196077,
