record_id,source_id,polymer_name,monomer_components_smiles,dynamic_link_type,catalyst_name,catalyst_loading_mol_pct,tg_value_c,relaxation_time_s,relaxation_temp_c,activation_energy_kj_mol,data_provenance,doi,conflict_flag,extraction_method,notes
rec_vit_web_vashisth_lab_0001,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COCCOc1cc(NC(=O)N(CCOCC(=O)O)CCOCC(=O)O)ccc1OC.NC(=O)C1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,transesterification,,,91.25720000000001,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0002,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1cccc(CCCN(CCOCC(=O)O)CCOCC(=O)O)c1.CCOCCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1,transesterification,,,23.42360000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0003,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CN(C)c1ccc(CNc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc1.O=C(Nc1ccccc1C(=O)N1CCOCC1)C(CC1CO1)CC1CO1,transesterification,,,122.03980000000001,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0004,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COCCCN(CCOCC(=O)O)C(=O)Cc1ccccc1COCC(=O)O.CN(CCC1CO1)C(=O)C(=O)Nc1ccc(C(=O)NCC2CO2)cc1,transesterification,,,109.555,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0005,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1c(N=Cc2ccccc2OCc2ccc(C(=O)O)cc2)cccc1C(=O)O.CC(=O)Nc1cccc(NC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)c1C,transesterification,,,153.1168,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0006,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCN(C(=O)COCCCC(=O)O)C1CN(C(=O)CCCC(=O)O)C1.Cc1cc(NC(=O)CCCC2CO2)ccc1NC(=O)CCCC1CO1,transesterification,,,58.670000000000016,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0007,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CCCOCC(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1.Cc1cccc(OCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,transesterification,,,77.6411,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0008,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)c1ccc(CCNCc2cc(C(=O)O)c3n2CCCC3)cc1.O=C(c1ccc(OCC2CO2)cc1)N1CCCN(CCCC2CO2)CC1,transesterification,,,97.94060000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0009,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)NCCc2ccncc2)cc1.Cc1cc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)ccc1N(C)C,transesterification,,,87.29690000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0010,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2ccccc2OC2CCCCC2)c1.COc1ccc(NC(=O)C(=O)NC(COCC2CO2)COCC2CO2)cc1,transesterification,,,79.49560000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0011,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)COCC(COCC(=O)O)NC(=O)NCCCN1CCN(c2ccccc2)CC1.COc1ccc2c(c1)CCN(C(=O)C=Cc1ccc(OCC3CO3)c(OCC3CO3)c1)CC2,transesterification,,,90.58750000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0012,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCN(CCCCCCO)CCC(=O)O.COc1ccc(CNCc2ccc3ccccc3c2OCC2CO2)c(OCC2CO2)c1,transesterification,,,50.00120000000004,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0013,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC1(NC(=O)CCCCC(=O)O)CCN(CCC(=O)O)CC1.O=C(CC1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1)NC1CCCC1,transesterification,,,50.52840000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0014,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1cc(CNCCCC(C(=O)O)C(=O)O)cc2c1OCO2.O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)c1ccc(N2CCCC2)nn1,transesterification,,,107.47150000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0015,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCOCC(=O)NCc1ccc2c(c1)CN(C(=O)COCCC(=O)O)C2.O=C(OCCOCC1CO1)c1ccccc1NCCOCC1CO1,transesterification,,,79.80400000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0016,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)COCc1ccc(CNc2ccc(N3CCC(COCC(=O)O)CC3)cn2)cc1.Cn1cc(CCNC(=O)N(CC2CO2)CC2CO2)c2ccccc21,transesterification,,,98.06330000000003,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0017,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cc1cccc2c1N(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2.COc1cc(CN2Cc3ccc(OCC4CO4)cc3C2)c(OCC2CO2)cc1OC,transesterification,,,67.67830000000004,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0018,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1ncc(C)cc1NC(=O)N(CCC(=O)O)CCC(=O)O.Cc1cc(C)n(CCOC(=O)c2cc(OCC3CO3)cc(OCC3CO3)c2)n1,transesterification,,,95.73350000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0019,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,NC(=O)COc1cccc(NC(=O)C(CCC(=O)O)CCC(=O)O)c1.CCOC(=O)C(N)Cc1ccc(OCC2CO2)c(OCC2CO2)c1,transesterification,,,113.93730000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0020,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,CC(C)OCC(=O)NCCCNCC(=O)N(CCC(=O)O)CCC(=O)O.Cc1ccccc1CC(=O)N1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,transesterification,,,61.37390000000005,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0021,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,Cn1nc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)ccc1=O.COc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1OC,transesterification,,,150.43380000000002,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0022,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)CCN(CCC(=O)O)CC(=O)NCC1(c2ccccc2)CCOCC1.Cc1ccc(C(=O)NCc2cccc(C(=O)N(C)C)c2)c(OCC2CO2)c1OCC1CO1,transesterification,,,105.95420000000001,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0023,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,COc1cccc(C(=O)N(CCC(=O)O)CCC(=O)O)c1OC.Cc1ccc(C(=O)Nc2ccccc2OC(C)C)c(OCC2CO2)c1OCC1CO1,transesterification,,,97.92940000000004,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
rec_vit_web_vashisth_lab_0024,vashisth_lab,Screened Epoxy-Acid Vitrimer Network,O=C(O)COCC(COCC(=O)O)NCc1ccc(OCCN2CCOCC2)cc1.COc1cccc(OCCN2CCN(C(=O)C(=O)N(CC3CO3)CC3CO3)CC2)c1,transesterification,,,35.21870000000001,,,,github_repository,,False,api,Extracted from Vashisth Lab screening dataset. Tg converted from Kelvin to Celsius.
